date,name,category,value
2015-01-01,germanb/b,other,2
2015-01-01,spanish - spainb/b,other,1
2015-01-01,koreanb/b,other,1
2015-01-01,japanese \r\n\r\nb/b,other,1
2015-01-01,italian \r\n\r\nb/b,other,1
2015-01-01,english (full audio),other,3
2015-01-01,russian\r\nb/b,other,1
2015-01-01,spanish - spain\r\nb/b,other,1
2015-01-01,slovakian,other,2
2015-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2015-01-01,japanese (all with full audio support),other,1
2015-01-01,english dutch  english,other,1
2015-01-01,portuguese - portugal,other,11
2016-01-01,english,anglo,10815
2016-01-01,polish,other,1333
2016-01-01,french,latin,3492
2016-01-01,italian,latin,2690
2016-01-01,german,anglo,3725
2016-01-01,spanish - spain,latin,3215
2016-01-01,portuguese,latin,622
2016-01-01,russian,slavic,2527
2016-01-01,japanese,japanese,1517
2016-01-01,turkish,turkish,459
2016-01-01,czech,czech,530
2016-01-01,portuguese - brazil,latin,1177
2016-01-01,hungarian,hungarian,353
2016-01-01,dutch,anglo,687
2016-01-01,ukrainian,slavic,241
2016-01-01,danish,nordic,261
2016-01-01,simplified chinese,chinese,1203
2016-01-01,korean,korean,838
2016-01-01,traditional chinese,chinese,663
2016-01-01,\r\nfrench,other,1
2016-01-01,\r\ngerman,other,1
2016-01-01,swedish,nordic,367
2016-01-01,arabic,arabic,145
2016-01-01,norwegian,nordic,222
2016-01-01,bulgarian,slavic,110
2016-01-01,finnish,nordic,214
2016-01-01,greek,greek,137
2016-01-01,romanian,latin,151
2016-01-01,thai,other,136
2016-01-01,german;,other,2
2016-01-01,spanish - latin america,latin,86
2016-01-01,vietnamese,other,23
2016-01-01,#lang_français,other,1
2016-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2016-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2016-01-01,traditional chinese (text only),other,1
2016-01-01,englishb/b,other,4
2016-01-01,frenchb/b,other,1
2016-01-01,italianb/b,other,1
2016-01-01,germanb/b,other,2
2016-01-01,spanish - spainb/b,other,1
2016-01-01,koreanb/b,other,1
2016-01-01,japanese \r\n\r\nb/b,other,1
2016-01-01,italian \r\n\r\nb/b,other,1
2016-01-01,english (full audio),other,3
2016-01-01,russian\r\nb/b,other,1
2016-01-01,spanish - spain\r\nb/b,other,1
2016-01-01,slovakian,other,2
2016-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2016-01-01,japanese (all with full audio support),other,1
2016-01-01,english dutch  english,other,1
2016-01-01,portuguese - portugal,other,14
2017-01-01,english,anglo,17026
2017-01-01,french,latin,4851
2017-01-01,italian,latin,3627
2017-01-01,german,anglo,5147
2017-01-01,spanish - spain,latin,4481
2017-01-01,japanese,japanese,2471
2017-01-01,portuguese - brazil,latin,1841
2017-01-01,russian,slavic,3848
2017-01-01,simplified chinese,chinese,2406
2017-01-01,traditional chinese,chinese,1222
2017-01-01,polish,other,1825
2017-01-01,portuguese,latin,1009
2017-01-01,turkish,turkish,765
2017-01-01,czech,czech,748
2017-01-01,hungarian,hungarian,528
2017-01-01,dutch,anglo,991
